"filename", "language", "JavaScript React", "JavaScript", "CSS", "XML", "comment", "blank", "total"
"d:\CONG_NGHE_WEB\BTProject\front-end\src\App.css", "CSS", 0, 0, 33, 0, 0, 6, 39
"d:\CONG_NGHE_WEB\BTProject\front-end\src\App.js", "JavaScript", 0, 9, 0, 0, 0, 3, 12
"d:\CONG_NGHE_WEB\BTProject\front-end\src\App.test.js", "JavaScript", 0, 7, 0, 0, 0, 2, 9
"d:\CONG_NGHE_WEB\BTProject\front-end\src\SwitchRoute.jsx", "JavaScript React", 52, 0, 0, 0, 2, 8, 62
"d:\CONG_NGHE_WEB\BTProject\front-end\src\constants\app.js", "JavaScript", 0, 1, 0, 0, 0, 0, 1
"d:\CONG_NGHE_WEB\BTProject\front-end\src\index.css", "CSS", 0, 0, 12, 0, 0, 2, 14
"d:\CONG_NGHE_WEB\BTProject\front-end\src\index.js", "JavaScript", 0, 23, 0, 0, 0, 10, 33
"d:\CONG_NGHE_WEB\BTProject\front-end\src\logo.svg", "XML", 0, 0, 0, 1, 0, 0, 1
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\Common\Header\Index.jsx", "JavaScript React", 41, 0, 0, 0, 0, 4, 45
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\Common\Header\style.css", "CSS", 0, 0, 153, 0, 4, 31, 188
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\Common\SideBarContent\Index.js", "JavaScript", 0, 37, 0, 0, 0, 1, 38
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\Common\SideBar\Index.jsx", "JavaScript React", 31, 0, 0, 0, 0, 4, 35
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\Common\SideBar\style.css", "CSS", 0, 0, 30, 0, 0, 7, 37
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\Dashboard\Index.jsx", "JavaScript React", 16, 0, 0, 0, 0, 3, 19
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\Dashboard\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\LoginAdmin\Index.jsx", "JavaScript React", 102, 0, 0, 0, 0, 11, 113
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\LoginAdmin\style.css", "CSS", 0, 0, 70, 0, 0, 14, 84
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\ManagerOrderHistories\Index.jsx", "JavaScript React", 16, 0, 0, 0, 1, 3, 20
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\ManagerOrderHistories\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\ManagerProducts\Index.jsx", "JavaScript React", 87, 0, 0, 0, 1, 9, 97
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\ManagerProducts\style.css", "CSS", 0, 0, 20, 0, 0, 5, 25
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\ManagerUser\Index.jsx", "JavaScript React", 98, 0, 0, 0, 1, 7, 106
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Admin\ManagerUser\style.css", "CSS", 0, 0, 6, 0, 0, 1, 7
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Cart\Index.jsx", "JavaScript React", 211, 0, 0, 0, 0, 9, 220
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Cart\style.css", "CSS", 0, 0, 143, 0, 0, 22, 165
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\ForgotPassword\Index.jsx", "JavaScript React", 341, 0, 0, 0, 1, 38, 380
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\ForgotPassword\style.css", "CSS", 0, 0, 66, 0, 0, 13, 79
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Home\Index.jsx", "JavaScript React", 203, 0, 0, 0, 2, 17, 222
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Home\style.css", "CSS", 0, 0, 50, 0, 0, 11, 61
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Login\Index.jsx", "JavaScript React", 117, 0, 0, 0, 0, 15, 132
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Login\style.css", "CSS", 0, 0, 60, 0, 0, 12, 72
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\OrderSuccess\Index.jsx", "JavaScript React", 24, 0, 0, 0, 0, 5, 29
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\OrderSuccess\style.css", "CSS", 0, 0, 18, 0, 0, 3, 21
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Payment\Index.jsx", "JavaScript React", 390, 0, 0, 0, 1, 33, 424
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Payment\style.css", "CSS", 0, 0, 151, 0, 2, 29, 182
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\ProductDetail\Index.jsx", "JavaScript React", 351, 0, 0, 0, 0, 25, 376
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\ProductDetail\style.css", "CSS", 0, 0, 148, 0, 0, 34, 182
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\ChangeInfoUser\Index.jsx", "JavaScript React", 408, 0, 0, 0, 1, 34, 443
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\ChangeInfoUser\style.css", "CSS", 0, 0, 101, 0, 0, 18, 119
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\ChangePassword\Index.jsx", "JavaScript React", 126, 0, 0, 0, 0, 13, 139
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\ChangePassword\style.css", "CSS", 0, 0, 30, 0, 0, 7, 37
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\HomeProfile\Index.jsx", "JavaScript React", 58, 0, 0, 0, 0, 11, 69
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\HomeProfile\style.css", "CSS", 0, 0, 0, 0, 0, 1, 1
"d:\CONG_NGHE_WEB\BTProject\front-end\src\pages\Profile\ListOrdered\Index.jsx", "JavaScript React", 102, 0, 0, 0, 0, 13, 115
