Date : 2021-07-04 04:31:32
Directory : d:\CONG_NGHE_WEB\BTProject\front-end\src
Total : 82 files,  6589 codes, 47 comments, 790 blanks, all 7426 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
+------------------+------------+------------+------------+------------+------------+
| JavaScript React |         24 |      3,383 |         12 |        329 |      3,724 |
| JavaScript       |         32 |      1,832 |         29 |        189 |      2,050 |
| CSS              |         25 |      1,373 |          6 |        272 |      1,651 |
| XML              |          1 |          1 |          0 |          0 |          1 |
+------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                 | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                    |         82 |      6,589 |         47 |        790 |      7,426 |
| constants                                                                            |          1 |          1 |          0 |          0 |          1 |
| pages                                                                                |         47 |      4,696 |         16 |        586 |      5,298 |
| pages\Admin                                                                          |         15 |        707 |          7 |        102 |        816 |
| pages\Admin\Common                                                                   |          5 |        292 |          4 |         47 |        343 |
| pages\Admin\Common\Header                                                            |          2 |        194 |          4 |         35 |        233 |
| pages\Admin\Common\SideBar                                                           |          2 |         61 |          0 |         11 |         72 |
| pages\Admin\Common\SideBarContent                                                    |          1 |         37 |          0 |          1 |         38 |
| pages\Admin\Dashboard                                                                |          2 |         16 |          0 |          4 |         20 |
| pages\Admin\LoginAdmin                                                               |          2 |        172 |          0 |         25 |        197 |
| pages\Admin\ManagerOrderHistories                                                    |          2 |         16 |          1 |          4 |         21 |
| pages\Admin\ManagerProducts                                                          |          2 |        107 |          1 |         14 |        122 |
| pages\Admin\ManagerUser                                                              |          2 |        104 |          1 |          8 |        113 |
| pages\Cart                                                                           |          2 |        354 |          0 |         31 |        385 |
| pages\ForgotPassword                                                                 |          2 |        407 |          1 |         51 |        459 |
| pages\Home                                                                           |          2 |        253 |          2 |         28 |        283 |
| pages\Login                                                                          |          2 |        177 |          0 |         27 |        204 |
| pages\OrderSuccess                                                                   |          2 |         42 |          0 |          8 |         50 |
| pages\Payment                                                                        |          2 |        541 |          3 |         62 |        606 |
| pages\ProductDetail                                                                  |          2 |        499 |          0 |         59 |        558 |
| pages\Profile                                                                        |          8 |        835 |          1 |         98 |        934 |
| pages\Profile\ChangeInfoUser                                                         |          2 |        509 |          1 |         52 |        562 |
| pages\Profile\ChangePassword                                                         |          2 |        156 |          0 |         20 |        176 |
| pages\Profile\HomeProfile                                                            |          2 |         58 |          0 |         12 |         70 |
| pages\Profile\ListOrdered                                                            |          2 |        112 |          0 |         14 |        126 |
| pages\Register                                                                       |          2 |        224 |          0 |         24 |        248 |
